"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:51:26:889 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","defender-number-base-a","initial-number-attacking-b26","initial-number-defending-b26","initial-number-t33","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count turtles","count attackers","count defenders"
"3","15","200","2","11","5","5","15","200","false","100","false","39","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","40","557","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","42","557","29","500"
"6","15","200","5","11","5","5","15","200","false","100","false","43","555","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","42","554","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","40","552","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","36","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","38","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","40","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","41","557","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","43","557","29","500"
"6","15","200","5","11","5","5","15","200","false","100","false","44","555","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","43","554","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","41","552","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","37","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","39","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","41","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","42","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","44","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","44","557","29","500"
"6","15","200","5","11","5","5","15","200","false","100","false","45","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","42","551","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","38","551","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","40","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","42","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","43","557","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","45","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","45","557","29","500"
"6","15","200","5","11","5","5","15","200","false","100","false","46","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","43","550","28","500"
"1","15","200","0","11","5","5","15","200","false","100","false","39","551","30","500"
