"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:52:50:578 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","552","29","483","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","558","23","500","566","30","500","560","30","493","568","30","500","569","30","500","552","29","483","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","557","22","500","565","29","500","560","30","493","568","30","500","569","30","500","552","29","483","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","557","22","500","565","29","500","560","30","493","568","30","500","569","30","500","552","29","483","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","552","29","483","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","552","29","483","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","551","29","482","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","551","29","482","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","551","29","482","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","551","29","482","570","29","500"
,"551","30","500","544","22","500","553","30","500","554","30","500","555","30","500","555","29","500","552","25","500","557","29","500","556","27","500","553","23","500","554","23","500","558","26","500","563","30","500","564","30","500","555","20","500","565","29","500","560","30","493","568","30","500","569","30","500","551","29","482","570","29","500"
